# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.333826501971e-05       8.548882039961e+01 
       1.339983165372e-05       8.586878067207e+01 
       1.346168246640e-05       8.625043306740e+01 
       1.352381876946e-05       8.663378073643e+01 
       1.358624188067e-05       8.701882666264e+01 
       1.364895312386e-05       8.740559086791e+01 
       1.371195382900e-05       8.779406727891e+01 
       1.377524533218e-05       8.818427727427e+01 
       1.383882897567e-05       8.857621875128e+01 
       1.390270610792e-05       8.896990666891e+01 
       1.396687808361e-05       8.936533479466e+01 
       1.403134626369e-05       8.976252111697e+01 
       1.409611201537e-05       9.016148124443e+01 
       1.416117671217e-05       9.056220599400e+01 
       1.422654173397e-05       9.096472164491e+01 
       1.429220846700e-05       9.136902003723e+01 
       1.435817830390e-05       9.177512077536e+01 
       1.442445264373e-05       9.218301172381e+01 
       1.449103289201e-05       9.259272907161e+01 
       1.455792046076e-05       9.300426493888e+01 
       1.462511676850e-05       9.341762517457e+01 
       1.469262324030e-05       9.383282861015e+01 
       1.476044130781e-05       9.424987147350e+01 
       1.482857240931e-05       9.466876971409e+01 
       1.489701798968e-05       9.508951092193e+01 
       1.496577950049e-05       9.551214551538e+01 
       1.503485840002e-05       9.593667805554e+01 
       1.510425615326e-05       9.636306767685e+01 
       1.517397423197e-05       9.679135790683e+01 
       1.524401411472e-05       9.722155397374e+01 
       1.531437728687e-05       9.765366124158e+01 
       1.538506524067e-05       9.808768928487e+01 
       1.545607947524e-05       9.852365146435e+01 
       1.552742149663e-05       9.896154147991e+01 
       1.559909281782e-05       9.940138633142e+01 
       1.567109495880e-05       9.984318167554e+01 
       1.574342944656e-05       1.002869225580e+02 
       1.581609781515e-05       1.007326641421e+02 
       1.588910160569e-05       1.011803733507e+02 
       1.596244236641e-05       1.016300685423e+02 
       1.603612165270e-05       1.020817689793e+02 
       1.611014102713e-05       1.025354854382e+02 
       1.618450205947e-05       1.029912081270e+02 
       1.625920632674e-05       1.034489586377e+02 
       1.633425541323e-05       1.039087458820e+02 
       1.640965091057e-05       1.043705748563e+02 
       1.648539441772e-05       1.048344505262e+02 
       1.656148754101e-05       1.053003948338e+02 
       1.663793189420e-05       1.057684036878e+02 
       1.671472909849e-05       1.062384984537e+02 
       1.679188078256e-05       1.067106813515e+02 
       1.686938858264e-05       1.071849601097e+02 
       1.694725414246e-05       1.076613444156e+02 
       1.702547911337e-05       1.081398477655e+02 
       1.710406515435e-05       1.086204842322e+02 
       1.718301393201e-05       1.091032492170e+02 
       1.726232712067e-05       1.095881653339e+02 
       1.734200640238e-05       1.100752352710e+02 
       1.742205346694e-05       1.105644616649e+02 
       1.750247001196e-05       1.110558778343e+02 
       1.758325774289e-05       1.115494676772e+02 
       1.766441837304e-05       1.120452535610e+02 
       1.774595362364e-05       1.125432438181e+02 
       1.782786522386e-05       1.130434463502e+02 
       1.791015491084e-05       1.135458722963e+02 
       1.799282442977e-05       1.140505291553e+02 
       1.807587553385e-05       1.145574278353e+02 
       1.815930998441e-05       1.150665874812e+02 
       1.824312955090e-05       1.155780005424e+02 
       1.832733601093e-05       1.160916951355e+02 
       1.841193115032e-05       1.166076628007e+02 
       1.849691676313e-05       1.171259293212e+02 
       1.858229465170e-05       1.176465020037e+02 
       1.866806662671e-05       1.181693849898e+02 
       1.875423450716e-05       1.186945772881e+02 
       1.884080012048e-05       1.192221229305e+02 
       1.892776530251e-05       1.197520179943e+02 
       1.901513189758e-05       1.202842482244e+02 
       1.910290175854e-05       1.208188597445e+02 
       1.919107674677e-05       1.213558315501e+02 
       1.927965873225e-05       1.218952121488e+02 
       1.936864959359e-05       1.224369745072e+02 
       1.945805121809e-05       1.229811480381e+02 
       1.954786550174e-05       1.235277412363e+02 
       1.963809434929e-05       1.240767615714e+02 
       1.972873967427e-05       1.246282145609e+02 
       1.981980339906e-05       1.251821299327e+02 
       1.991128745491e-05       1.257384956298e+02 
       2.000319378198e-05       1.262973533587e+02 
       2.009552432937e-05       1.268586811478e+02 
       2.018828105521e-05       1.274224958796e+02 
       2.028146592664e-05       1.279888325458e+02 
       2.037508091990e-05       1.285576725594e+02 
       2.046912802033e-05       1.291290475870e+02 
       2.056360922246e-05       1.297029739924e+02 
       2.065852652999e-05       1.302794272861e+02 
       2.075388195592e-05       1.308584556442e+02 
       2.084967752249e-05       1.314400709650e+02 
       2.094591526130e-05       1.320242547889e+02 
       2.104259721334e-05       1.326110199316e+02 
       2.113972542899e-05       1.332004211818e+02 
       2.123730196811e-05       1.337924341349e+02 
       2.133532890008e-05       1.343870691681e+02 
       2.143380830380e-05       1.349843534452e+02 
       2.153274226780e-05       1.355842868347e+02 
       2.163213289022e-05       1.361868873397e+02 
       2.173198227892e-05       1.367921558173e+02 
       2.183229255145e-05       1.374001425770e+02 
       2.193306583517e-05       1.380108170488e+02 
       2.203430426722e-05       1.386242017601e+02 
       2.213600999465e-05       1.392403214820e+02 
       2.223818517439e-05       1.398591496525e+02 
       2.234083197332e-05       1.404807683817e+02 
       2.244395256836e-05       1.411051275233e+02 
       2.254754914643e-05       1.417322658440e+02 
       2.265162390458e-05       1.423621958418e+02 
       2.275617904999e-05       1.429949155687e+02 
       2.286121680002e-05       1.436304548902e+02 
       2.296673938228e-05       1.442688140816e+02 
       2.307274903465e-05       1.449100184747e+02 
       2.317924800534e-05       1.455540599395e+02 
       2.328623855294e-05       1.462009781628e+02 
       2.339372294648e-05       1.468507571253e+02 
       2.350170346543e-05       1.475034347628e+02 
       2.361018239981e-05       1.481590076860e+02 
       2.371916205020e-05       1.488174911302e+02 
       2.382864472780e-05       1.494789087964e+02 
       2.393863275449e-05       1.501432557031e+02 
       2.404912846283e-05       1.508105611061e+02 
       2.416013419620e-05       1.514808276999e+02 
       2.427165230874e-05       1.521540867147e+02 
       2.438368516551e-05       1.528303278820e+02 
       2.449623514245e-05       1.535095724818e+02 
       2.460930462648e-05       1.541918397555e+02 
       2.472289601553e-05       1.548771326445e+02 
       2.483701171861e-05       1.555654729303e+02 
       2.495165415585e-05       1.562568748877e+02 
       2.506682575853e-05       1.569513511570e+02 
       2.518252896918e-05       1.576489215159e+02 
       2.529876624158e-05       1.583495774620e+02 
       2.541554004085e-05       1.590533521249e+02 
       2.553285284349e-05       1.597602543162e+02 
       2.565070713743e-05       1.604703012738e+02 
       2.576910542206e-05       1.611835003514e+02 
       2.588805020835e-05       1.618998690251e+02 
       2.600754401883e-05       1.626194209341e+02 
       2.612758938768e-05       1.633421707592e+02 
       2.624818886077e-05       1.640681325857e+02 
       2.636934499574e-05       1.647973206141e+02 
       2.649106036202e-05       1.655297491657e+02 
       2.661333754091e-05       1.662654326759e+02 
       2.673617912560e-05       1.670043855738e+02 
       2.685958772129e-05       1.677466224122e+02 
       2.698356594518e-05       1.684921577494e+02 
       2.710811642654e-05       1.692410062165e+02 
       2.723324180681e-05       1.699931825815e+02 
       2.735894473959e-05       1.707487015658e+02 
       2.748522789075e-05       1.715075780030e+02 
       2.761209393845e-05       1.722698268430e+02 
       2.773954557321e-05       1.730354630677e+02 
       2.786758549800e-05       1.738045020649e+02 
       2.799621642822e-05       1.745769582745e+02 
       2.812544109184e-05       1.753528472142e+02 
       2.825526222941e-05       1.761321841335e+02 
       2.838568259412e-05       1.769149843444e+02 
       2.851670495188e-05       1.777012632378e+02 
